"Link","Name","POS","College","Year","RAS","Alltime RAS","Round","Draft Team"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19902"">Link</a>","Joshua Miles","OT","Morgan State","2019","5.36","5.49","7","Cardinals"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=961"">Link</a>","Doug Lloyd","RB","North Dakota State","1989","8.18","5.48","6","Raiders"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=2793"">Link</a>","Demetrius Dubose","LB","Notre Dame","1993","7.50","5.48","2","Buccaneers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=4413"">Link</a>","Tarek Saleh","LB","Wisconsin","1997","7.79","5.48","4","Panthers"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=5019"">Link</a>","Jeremy Offutt","OC","Oklahoma State","1999","6.38","5.48",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6149"">Link</a>","Matt Hill","OT","Boise State","2002","7.53","5.48","5","Seahawks"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9643"">Link</a>","Tori Gurley","WR","South Carolina","2011","4.70","5.48",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=12318"">Link</a>","Anthony Norris","TE","Southern Utah","2016","4.75","5.48",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=13104"">Link</a>","Xavien Howard","CB","Baylor","2016","4.27","5.48","2","Dolphins"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=13828"">Link</a>","Elijah Mcguire","RB","Louisiana","2017","4.62","5.48","6","Jets"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=14440"">Link</a>","Lenzy Pipkins","CB","Oklahoma State","2017","4.71","5.48",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=18280"">Link</a>","Bradlee Anae","DE","Utah","2020","4.95","5.48","5","Cowboys"
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=18910"">Link</a>","Romell Guerrier","WR","Florida Tech","2019","5.03","5.48",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19214"">Link</a>","Beau Bisharat","FB","Colorado","2020","5.15","5.48",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=19627"">Link</a>","Lamar Jackson","CB","Nebraska","2020","4.90","5.48",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20516"">Link</a>","Cody Sandlin","PK","Tennessee-Martin","2013","4.80","5.48",,
"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=1128"">Link</a>","Mike Barber","WR","Marshall","1989","7.06","5.47",,
