"season","round","pick","team","pfr_player_name","position","age","hof","allpro","probowls","seasons_started","seasons_played","w_av","games","RAS","w_av_py","stratum"
2009,7,213,"PHI","Paul Fanaika","OG",23,FALSE,0,0,2,6,13,33,3.09,2.16666666666667,"Stratum 1"
2008,4,112,"CIN","Anthony Collins","OT",22,FALSE,0,0,1,7,16,69,2.87,2.28571428571429,"Stratum 1"
1991,7,190,"CHI","Paul Justin","QB",23,FALSE,0,0,0,9,8,34,3.92,0.888888888888889,"Stratum 1"
2014,6,181,"HOU","Alfred Blue","RB",23,FALSE,0,0,1,5,18,73,5.04,3.6,"Stratum 1"
2003,4,133,"TAM","Austin King","OC",22,FALSE,0,0,0,4,3,34,4.3,0.75,"Stratum 1"
2009,7,244,"SFO","Ricky Jean-Francois","DT",22,FALSE,0,0,4,10,23,137,2.22,2.3,"Stratum 1"
2001,4,126,"BAL","Ed Hartwell","LB",23,FALSE,0,0,3,6,28,77,4.45,4.66666666666667,"Stratum 1"
2012,3,92,"IND","T.Y. Hilton","WR",22,FALSE,0,4,8,11,72,146,5.29,6.54545454545455,"Stratum 1"
2019,6,190,"MIN","Armon Watts","DT",23,FALSE,0,0,1,6,12,77,3.72,2,"Stratum 1"
2015,7,229,"JAX","Ben Koyack","TE",22,FALSE,0,0,0,5,1,48,4.65,0.2,"Stratum 1"
2016,5,150,"CHI","Jordan Howard","RB",21,FALSE,0,1,3,7,27,73,2.53,3.85714285714286,"Stratum 1"
1987,6,159,"HOU","Toby Caston","LB",22,FALSE,0,0,0,7,6,90,3.23,0.857142857142857,"Stratum 1"
2015,1,23,"DEN","Shane Ray","DE",22,FALSE,0,0,1,4,12,49,5.23,3,"Stratum 1"
2013,1,10,"TEN","Chance Warmack","OG",21,FALSE,0,0,3,6,22,68,2.16,3.66666666666667,"Stratum 1"
2006,4,107,"ARI","Gabe Watson","DT",22,FALSE,0,0,1,5,11,62,2.33,2.2,"Stratum 1"
2018,7,244,"LAR","Justin Lawler","DE",23,FALSE,0,0,0,4,1,19,2.42,0.25,"Stratum 1"
1991,3,76,"WAS","Ricky Ervins","RB",22,FALSE,0,0,1,5,23,76,3.4,4.6,"Stratum 1"
2001,3,81,"NOR","Kenny Smith","DT",23,FALSE,0,0,1,9,7,36,4.42,0.777777777777778,"Stratum 1"
1997,3,81,"TEN","Scott Sanderson","OT",23,FALSE,0,0,0,7,7,45,4.34,1,"Stratum 1"
2005,6,213,"BAL","Derek Anderson","QB",22,FALSE,0,1,3,14,23,78,3.51,1.64285714285714,"Stratum 1"
2012,4,99,"HOU","Ben Jones","OC",23,FALSE,0,1,10,11,58,172,4.59,5.27272727272727,"Stratum 1"
2019,5,148,"SFO","Dre Greenlaw","LB",22,FALSE,0,0,4,7,31,72,4.96,4.42857142857143,"Stratum 1"
2013,3,74,"DAL","Terrance Williams","WR",23,FALSE,0,0,4,6,27,83,4.76,4.5,"Stratum 1"
2012,3,64,"IND","Dwayne Allen","TE",22,FALSE,0,0,4,7,12,86,4.73,1.71428571428571,"Stratum 1"
2008,3,64,"DET","Kevin Smith","RB",21,FALSE,0,0,2,5,19,54,4.83,3.8,"Stratum 1"
2009,4,135,"TEN","Troy Kropog","OT",23,FALSE,0,0,0,4,0,7,5.01,0,"Stratum 1"
1996,4,112,"ARI","Aaron Graham","OC",23,FALSE,0,0,2,7,19,92,1.94,2.71428571428571,"Stratum 1"
1995,6,194,"MIA","Jeff Kopp","LB",24,FALSE,0,0,0,5,4,63,5.35,0.8,"Stratum 1"
1998,3,90,"GNB","Jonathan Brown","DE",22,FALSE,0,0,0,4,0,7,5.33,0,"Stratum 1"
1991,8,213,"RAI","Brian Jones","LB",23,FALSE,0,0,1,8,7,44,4.66,0.875,"Stratum 1"
2008,5,155,"JAX","Thomas Williams","LB",23,FALSE,0,0,0,4,1,15,2.99,0.25,"Stratum 1"
2014,3,98,"GNB","Richard Rodgers","TE",22,FALSE,0,0,2,9,14,98,4.57,1.55555555555556,"Stratum 1"
2009,2,51,"BUF","Andy Levitre","OG",23,FALSE,0,0,9,10,55,143,4.91,5.5,"Stratum 1"
2000,4,127,"NWE","Greg Randall","OT",22,FALSE,0,0,2,4,18,51,2.35,4.5,"Stratum 1"
2016,1,30,"CAR","Vernon Butler","DT",22,FALSE,0,0,2,7,13,77,3.57,1.85714285714286,"Stratum 1"
2014,4,107,"OAK","Justin Ellis","DT",23,FALSE,0,0,3,9,25,117,1.27,2.77777777777778,"Stratum 1"
2017,4,109,"MIN","Jaleel Johnson","DT",23,FALSE,0,0,1,7,16,86,1.87,2.28571428571429,"Stratum 1"
1996,5,152,"CHI","Chris Villarrial","OG",23,FALSE,0,0,10,11,49,155,4.97,4.45454545454545,"Stratum 1"
2014,2,57,"SFO","Carlos Hyde","RB",23,FALSE,0,0,4,8,32,102,4.23,4,"Stratum 1"
1999,2,52,"TEN","John Thornton","DT",22,FALSE,0,0,8,10,51,143,1.29,5.1,"Stratum 1"
2010,5,151,"PIT","Chris Scott","OG",23,FALSE,0,0,0,7,9,45,0.57,1.28571428571429,"Stratum 1"
1996,4,114,"SDG","Charlie Jones","WR",23,FALSE,0,0,2,4,13,54,3.56,3.25,"Stratum 1"
2010,2,63,"IND","Pat Angerer","LB",23,FALSE,0,0,3,4,18,54,4.93,4.5,"Stratum 1"
2000,4,96,"NOR","Terrelle Smith","FB",22,FALSE,0,0,8,10,3,146,2.32,0.3,"Stratum 1"
1997,3,88,"NYJ","Dedric Ward","WR",22,FALSE,0,0,1,8,20,103,4.52,2.5,"Stratum 1"
2014,5,176,"GNB","Jared Abbrederis","WR",23,FALSE,0,0,0,4,1,22,4.66,0.25,"Stratum 1"
2009,7,233,"TAM","Sammie Stroughter","WR",23,FALSE,0,0,0,4,5,33,1.79,1.25,"Stratum 1"
